date,time,code,name,currency,price,diff,per_diff
14/10/2019,09:15,WPP,WPP,GBX,953.60,+22.60,+2.43
14/10/2019,09:30,III,3I GRP.,GBX,1079.50,-13.00,-1.19
14/10/2019,09:30,ABF,A.B.FOOD,GBX,2154.00,-27.00,-1.24
14/10/2019,09:30,ADM,ADMIRAL GRP,GBX,2046.00,-30.00,-1.45
14/10/2019,09:30,AAL,ANGLO AMERICAN,GBX,1945.00,-39.60,-2.00
14/10/2019,09:30,ANTO,ANTOFAGASTA,GBX,859.20,-16.60,-1.90
14/10/2019,09:30,AHT,ASHTEAD GRP.,GBX,2144.00,-31.00,-1.43
14/10/2019,09:30,AZN,ASTRAZENECA,GBX,6959.00,+43.00,+0.62
14/10/2019,09:30,AUTO,AUTO TRAD,GBX,528.20,-11.40,-2.11
14/10/2019,09:30,AVV,AVEVA GRP,GBX,3726.00,+8.00,+0.21
14/10/2019,09:30,AV.,AVIVA,GBX,395.80,-9.40,-2.32
14/10/2019,09:30,BA.,BAE SYS.,GBX,556.40,+0.40,+0.07
14/10/2019,09:30,BARC,BARCLAYS,GBX,157.30,-3.18,-1.98
14/10/2019,09:30,BDEV,BARRATT DEVEL.,GBX,636.80,-17.60,-2.69
14/10/2019,09:30,BKG,BERKELEY GP.HLD,GBX,4337.00,-18.00,-0.41
14/10/2019,09:30,BHP,BHP GROUP,GBX,1695.20,-25.20,-1.47
14/10/2019,09:30,BP.,BP,GBX,494.65,+1.10,+0.22
14/10/2019,09:30,BATS,BR.AMER.TOB.,GBX,2709.00,-1.00,-0.04
14/10/2019,09:30,BLND,BR.LAND,GBX,583.60,-7.40,-1.25
14/10/2019,09:30,BT.A,BT GROUP,GBX,194.76,-2.24,-1.14
14/10/2019,09:30,BNZL,BUNZL,GBX,2006.00,-19.00,-0.94
14/10/2019,09:30,BRBY,BURBERRY GRP,GBX,2005.00,+1.00,+0.05
14/10/2019,09:30,CCL,CARNIVAL,GBX,3113.00,-6.00,-0.19
14/10/2019,09:30,CNA,CENTRICA,GBX,67.68,-1.08,-1.57
14/10/2019,09:30,CCH,COCACOLA HBC AG,GBX,2540.00,-2.00,-0.08
14/10/2019,09:30,CPG,COMPASS GROUP,GBX,2018.00,+11.00,+0.55
14/10/2019,09:30,CRH,CRH,GBX,2698.00,-12.00,-0.44
14/10/2019,09:30,CRDA,CRODA INTL.,GBX,4712.00,-22.00,-0.47
14/10/2019,09:30,DCC,DCC,GBX,6820.00,-80.00,-1.16
14/10/2019,09:30,DGE,DIAGEO,GBX,3237.00,+27.00,+0.84
14/10/2019,09:30,EVR,EVRAZ,GBX,416.30,-18.20,-4.19
14/10/2019,09:30,EXPN,EXPERIAN,GBX,2494.00,+11.00,+0.44
14/10/2019,09:30,FERG,FERGUSON,GBX,6398.00,-2.00,-0.03
14/10/2019,09:30,FLTR,FLUTTER ENT,GBX,7600.00,-50.00,-0.65
14/10/2019,09:30,FRES,FRESNILLO,GBX,626.20,-4.60,-0.73
14/10/2019,09:30,GSK,GLAXOSMITHKLINE,GBX,1693.40,+18.40,+1.10
14/10/2019,09:30,GLEN,GLENCORE,GBX,231.90,-5.60,-2.36
14/10/2019,09:30,HLMA,HALMA,GBX,1885.50,-3.50,-0.18
14/10/2019,09:30,HL.,HARGREAVES LANS,GBX,1796.00,-56.50,-3.05
14/10/2019,09:30,HIK,HIKMA,GBX,2026.00,+4.00,+0.20
14/10/2019,09:30,HSX,HISCOX,GBX,1581.00,-23.00,-1.43
14/10/2019,09:30,HSBA,HSBC HLDGS.UK,GBX,604.70,-2.70,-0.45
14/10/2019,09:30,IMB,IMP.BRANDS,GBX,1840.40,-13.00,-0.70
14/10/2019,09:30,INF,INFORMA,GBX,782.40,-5.60,-0.71
14/10/2019,09:30,IHG,INTERCON. HOTEL,GBX,4757.50,-4.50,-0.09
14/10/2019,09:30,ITRK,INTERTEK GROUP,GBX,5204.00,-46.00,-0.88
14/10/2019,09:30,IAG,INTL CONSOL AIR,GBX,486.70,-12.20,-2.44
14/10/2019,09:30,ITV,ITV,GBX,126.70,-2.60,-2.01
14/10/2019,09:30,JD.,JD SPORTS,GBX,760.20,-0.60,-0.08
14/10/2019,09:30,JMAT,JOHNSON MATTHEY,GBX,2949.00,-32.00,-1.07
14/10/2019,09:30,JE.,JUST EAT,GBX,625.40,-2.00,-0.32
14/10/2019,09:30,KGF,KINGFISHER,GBX,210.80,+0.60,+0.28
14/10/2019,09:30,LAND,LAND SECS.,GBX,886.60,-9.00,-1.00
14/10/2019,09:30,LGEN,LEGAL&GEN.,GBX,254.50,-6.30,-2.42
14/10/2019,09:30,LLOY,LLOYDS GRP.,GBX,57.00,-2.13,-3.60
14/10/2019,09:30,LSE,LON.STK.EXCH,GBX,7326.00,+26.00,+0.36
14/10/2019,09:30,MGGT,MEGGITT,GBX,613.60,-5.00,-0.81
14/10/2019,09:30,MRO,MELROSE IND,GBX,198.85,-2.25,-1.12
14/10/2019,09:30,MNDI,MONDI,GBX,1577.00,-18.50,-1.16
14/10/2019,09:30,MRW,MORRISON (WM),GBX,200.80,-2.50,-1.23
14/10/2019,09:30,NG.,NATIONAL GRID,GBX,889.50,-2.10,-0.24
14/10/2019,09:30,NXT,NEXT,GBX,6430.00,-28.00,-0.43
14/10/2019,09:30,NMC,NMC HEALTH,GBX,2604.00,-104.00,-3.84
14/10/2019,09:30,OCDO,OCADO,GBX,1280.00,-42.00,-3.18
14/10/2019,09:30,PSON,PEARSON,GBX,692.60,-1.00,-0.14
14/10/2019,09:30,PSN,PERSIMMON,GBX,2255.00,-32.00,-1.40
14/10/2019,09:30,PHNX,PHOENIX GRP HDG,GBX,691.10,-13.40,-1.90
14/10/2019,09:30,POLY,POLYMETAL INT,GBX,1136.00,-6.50,-0.57
14/10/2019,09:30,PRU,PRUDENTIAL,GBX,1477.50,-31.00,-2.06
14/10/2019,09:30,RDSA,RDS 'A',GBX,2288.50,-2.00,-0.09
14/10/2019,09:30,RDSB,RDS 'B',GBX,2278.50,-3.50,-0.15
14/10/2019,09:30,RB.,RECKITT BEN. GP,GBX,6128.00,+33.00,+0.54
14/10/2019,09:30,REL,RELX,GBX,1844.00,+7.50,+0.41
14/10/2019,09:30,RTO,RENTOKIL INITL.,GBX,459.60,+4.90,+1.08
14/10/2019,09:30,RMV,RIGHTMOVE,GBX,553.40,-3.60,-0.65
